user,date,rating,content
acedj,"Nov 15, 2019",9/10,"This is the first movie in the Indiana Jones series. It is also the best film in the series. Indy is hired by the US government to track down the sacred arc of the covenant. While he is on his quest the Nazis are also searching for the arc. This is a wonderful adventure story that covers many countries. Harrison Ford was born to play this role, and he does it with flair. After having seen this film quite a few times, you also get to pick out the Easter eggs that are scattered around. One hint is be on the lookout for two well known Star Wars droids.
I do not think that there was a better combination in the 80's than Lucas and Spielberg. This in everything you would want from an adventure movie and more."
fernandoschiavi,"Jun 27, 2020",8/10,"It was born from the minds of some of the leading filmmakers of the moment, but an adventure that would become one of the leading film franchises. George Lucas had just created and launched two sci-fi classics with the first two chapters of the ""Star Wars"" saga while Spielberg was also already considered one of the most promising directors in Hollywood having effect astonishing successes with ""Jaws (1975)"" and Close Encounters of the Third Kind (1977) "".Classic recipe for matinees adored by George Lucas, the work of screenwriter Lawrence Kasdan is one of the most consistent doing an excellent job of keeping to the basics: virtually all characters in The Raiders of the Lost Ark are based on archetypes, but none of them lack personality. Indy himself is one of the most famous characters in American cinema, fitting the profile of the classic action hero, but with several peculiarities that make him special, from his acid sense of humor, his clumsy way to achieve a goal and also his intelligence. All villains are purposefully shallow and Manichean, with Nazism incorporating all the evil on Earth in a cartoonish way, but that never sounds strange in this proposal.In ""Raiders of the Lost Ark"", Spielberg makes his first openly action movie, even though ""Duel"", ""Jaws"" and ""1941"" had their setpieces there, here is a popcorn adventure from start to finish, and this is a category in which the filmmaker would become an expert. The opening scene alone is a lesson in how to introduce a character and his universe, with Spielberg's camera keeping a mystery about Indy's identity - Douglas Slocombe's photograph skillfully covers Ford's face with shadows - but building your personality and your iconic figure through frames that portray your courage and demonstrate your skills; see the closed planes of the hat, the leather jacket and the whip on the long belt before the protagonist draws it against an attacker. It is an aesthetic care and well elaborated by the filmmaker's camera game, which is maintained throughout the film's other numerous action sequences. Between shootings in bars, races to stop a truck and a fist fight on an airstrip, what most charm the project is the ability of the filmmaker to create an atmosphere of tension that embarks on a frantic and good-natured adventure. is one of the great strengths of the feature, guaranteeing the film never to lose its rhythm, while the characters go over obstacle after obstacle, as in a real board game. Spielberg's ability to command the action is present in the most ""naive"" scenes, such as the snake pit or the fight in the Nazi plane, even in the most elaborate ones, such as the chase of trucks involving Jones and several soldiers.Classic backstage story, it was Harrison Ford's suggestion that Indy, when faced by a skilled swordsman in the Cairo market, simply shoot his opponent instead of starting an elaborate fight with his whip - as the script originally said. A sensational improvisation that came out of the mere fact that Ford and several members of the team were sick because of the heat and the local food, and that perfectly ended up defining one of Indy's personality traits. Throughout two other action scenes, the hero ""asks"" an opponent to wait while he prepares to return to the fight, and casually answers one of his colleagues who asks him what his plan is: ""I don't know, I invent on the way"". Priceless phrases and actions, and that only Harrison Ford would be able to deliver with such charisma and naturalness, in what is definitely the most striking role of his remarkable career. Ford is loose, unlike what he commonly complained of Han Solo here he can show some more facets and not a predominant one as is the extremely obvious scoundrel antihero. He is incredulous that the journey he will take will result in something really in the encounter with something divine in fact, in addition to being able to represent well the teacher for whom his students sigh, besides of course to reproduce the cliché of forbidden love for someone of the past, In this case, Marion, the strong and feminine character of Karen Allen, a woman who is clearly not a full-time damsel in distress.With special care for the action, what is also striking is how Spielberg maintains his same technical eye for the most expository scenes. For example, the scene where Indy and Brody (Denholm Elliott) are approached by government officials, and the archaeologist explains the Ark of the Covenant myth to them, Spielberg films much of the dialogue in an open plan with all four characters there, well-disposed through a mise en scène that puts the agents - and the spectator - in a classroom, where Indy even uses the blackboard to present some concepts that will become important in the future; an exhibition that does not sound forced, after all the protagonist is in fact a teacher. We also see Spielberg's brand developing, where the filmmaker works on long shots that always change the characters' positions and the graceful movement of the camera, giving the strong impression that a cut has happened, but remaining in the same shot. Iconography is also a factor that Spielberg and Slocombe masterfully explore, as in the scene where Indy visits Marion in her bar, casting a giant shadow on the girl, but being Marion a fearless woman - and the most memorable one in the archaeologist's gallery - she is very capable of opposing the presence of Indy, and the shadow soon fades over the course of the conversation.The master of Star Wars songs, conductor John Williams had already been working with Spielberg since ""Jaws"", and not tired of delivering memorable themes, he reaches one of the culminations of his career with the Indiana Jones musical piece. It is a cheerful, adventurous and even flashy theme, which summarizes all the feelings and themes of the franchise, as well as offering emotionally demarcated tracks, such as the love theme with Marion and the most oppressive and heavy orchestra to portray the Nazis. Another work of genius, for a change.Being an example of the 80s, and literally beginning the decade, the overwhelming majority of the special effects of Hunters are done in a practical way, being done in the studio, unlike the digital effects so common today. It is very good that Spielberg did not like his friend George Lucas who adapted the effects of Star Wars for the ""current times"" which would be to deny the nature of the film and the time in which it was made. The snake scene was made with real snakes (and that scene with a cobra was filmed with a cobra between a glass panel and the actor. The giant ball at the beginning is actually a giant ball, and the scene where Indiana Jones is dragged by a car was filmed that way, with some stuntmen obviously, but Harrison Ford himself was dragged by the car at one point. We have rubber dolls and animatronics to serve as the dead henchmen, while the need for a more supernatural practically takes the film on a path of trash terror. Anyone who watched the film as a child is forever scarred by the images of Nazis having their faces twisted, exploded and melted when the Ark demonstrates the magnitude and horror of its power, and Spielberg and his team have fun here. Okay, the matte paintings and projections of the ""spirits"" of the Ark are images that today appear considerably dated, but still have an impact, as well as the wonderful eighth of the Nazi Ernst Toht (Ronald Lacey) literally melting before our eyes.One of the great films of Spielberg's career and one of the greatest adventure films of all time. The film, despite being a big blockbuster, still has personal traits of the director who is Jewish, so don't think that the Nazis are villains by chance. Spielberg prints in Caçadores gains a strong and constant critical sub-text that enriches the cinematographic experience, combining narrative lightness with very strong ""strikes"" against the most murderous regime of the 20th century. It is almost like a form of indoctrination in which a certain political position was instilled in the subconscious without our realizing it.""Raiders of the Lost Ark"" borders on perfection, as it shows that the academic or scientific search can evidently solve some mysteries, while so many others are apparently instituted to be solved with time and investigations that will last for the lives and generations of many scholars, and this feeling gains even more strength with the scene that precedes the credits, where you see a shed with numerous artifacts kept, all waiting to star in one or more adventures of Indiana and yours.With all these elements well balanced - including a predilection for fantasy - ""The Raiders of the Lost Ark"" became one of the biggest commercial successes in cinema history, competing for eight Oscars and taking four, starting a millionaire franchise and also generating several imitations. We witnessed a perfect adventure film here, being one of the most dignified and perfect examples that the genre has ever seen. Indiana Jones is already born an iconic figure, thanks to the good ideas of George Lucas and the technical virtuosity of Steven Spielberg, who delivers his first great action film in a fun and intelligent way, using the nostalgia of a very specific period to create something completely new."
Nazi_Fighter_David,"Jul 27, 2008",9/10,"Ford stars as Indiana Jones, an archaeologist adventurer, who spends his time traveling all over the world through jungles, deserts, oceans, and caverns in search for hidden treasureslike the priceless long-lost Ark of the Covenant (the Hebrew sacred artifact that held the supposed Ten Commandments). Unfortunately, a group of treasure-hungry Nazis wants it too, having heard that any army who wins it would receive supernatural powersWith his trademark hat, whip, leather jacket, and pistol for backup, our stubborn, intelligent, determined and loyal hero escapes innumerable dangers, evades multiple obstacles including fearsome thugs in a busy Cairo bazaar, and hangs underneath a fast-moving truck in an exciting chase through a road These are only some of the film's incredible set pieces Steven Spielberg likable hero is not invincible, though, facing impossible odds, capable of getting beaten, struck violently, heart broken, and falling asleep after the first kissThe villainsespecially Indy's suave and cultured French rival wearing a Panama hat and white suits, Rene Belloq (Paul Freeman)are not really that much different from him, except in their motivation The shrill heroine, Marion (Karen Allen)is not the girl always in discomfort either, but a resourceful, dynamic and formidable woman who doesn't require the hero at all""Raiders of the Lost Arc"" is a perfect package of unforgettable scenes, countless action, humor, astonishing technical effects, thrilling sequences, and terrific performances It was followed by three fun sequels"
belzebuebchen,"Dec 6, 2004",10/10,"Nowadays we keep forgetting how beautiful blockbusters can be. Too much CGI makes everything possible and therefore very often also arbitrary. In Raiders you actually seem to feel the physical pain some of the actors/stuntmen had to go through to provide 2 hours of pure entertainment.Of course the story isn't waterproof, the Nazi weren't that present in Egypt in 1936 and how did Indy survive that ride on the submarine again? But lots of good and variable action scenes are accompanied by a story that develops fast and excitingly and is always close to being implausible but luckily never is.Spielberg, Lucas and most of all Harrison Ford created a hero that is nowadays iconic. With their attempt to make an homage to adventure comics of the 1930's they created their own legend.It's funny, exiting, thrilling and romantic. What more can you ask for?"
baumer,"Jul 9, 1999",10/10,"It is a hot sunny day in South America. We see a bunch of men, shot mostly from the back. They are walking deep into the forest. We see a tall dark figure. He is wearing an old leather jacket, he has the 5 o'clock shadow looking like it's closer to midnight, he wears a fedora and he carries a bull-whip ( yes a bull-whip ). Finally, two of the men enter a cave and we hear about some guy named Forstall, who was good, very, very good, but he never came out of the place alive. But they enter anyway. They are confronted with tarantulas, spears that are triggered by blocking out the light, a pit that they must swing over and then more tiny poisonous darts that come out of the wall. All this to protect an ancient gold statue. They recover it. One guy dies and the other barely makes it out of the room before it all falls on him. Then he has to get out of the cave and a giant boulder chases him. Finally he makes it out of the cave only to be surrounded by Hovitos and his arch enemy named Belloq. He takes the gold statue that this guy worked so hard for and then the guy runs and makes it to the plane where he is in the passenger seat and there is big snake in the plane. He hates snakes. This mans name? Indiana Jones!Whhhoooooo!! I'm left breathless just describing that opening. But is there a better beginning of a movie ever? Absolutely not. Does the beginning have anything to do with the rest of the film. No. It is all decoration for what the movie is going to put you through in the 90 minutes to come.Indiana Jones is the best character to ever hit the screens. And he better be. He is created by George, Steven and played by Harrison Ford. That may seem normal now that we have lived with him for 20 years, but can you imagine what that must have been like back in 1981. That would be like Tom Hanks or Will Smith joining forces with James Cameron and Steven Spielberg for a completely original idea in today's terms.Raiders took a simple idea and maybe an idea that the guys had from watching Saturday afternoon movies and made it larger than life. This film never stops for you to take your breath. It is filled with rich characters from Indy himself to Marion to Belloq and even to Marcus Brody. Each has their own personality that shines through in certain scenes. Some of my faves were when we first meet Marion having a shot contest in her bar in Nepal. Then there is her scene with Belloq and they get drunk together and she tries to leave using only a butter knife. And of course who can forget Indy's battle with the swordsman and his unrivaled determination to get the ark. "" Indy, there is not time. If you still want the truck it is being loaded on a truck for Cairo. "" ( a battered and bloody Indy ) "" Truck? What truck?"" ( and then later ) ""Get some transport back to England, boat, plane, anything. Meet me at Omar's. I'm going after that truck. ""Sola ) "" How? "" ( Indy ) I don't know I'm making this up as I go.""Raiders has more energy than three action films. And that is what makes it the classic that it is. If you like movies, then Raiders is a movie that will not let you down. It is pure entertainment and that is indisputable. It finds the youngster in all of us and bombards us with this silly, whip-cracking, average, incredibly determined archaeologist and only asks us to have fun. And that we do. And to me, the only reason that Chariots of Fire won best picture that year is because it is a serious film. Raiders was heads and shoulders above Chariots and it should have cleaned up at the Oscars in 81. But more politics with the academy.Raiders of the Lost Ark is the epitome of entertainment. What more can be said about it. If you haven't seen this movie in a while or if you haven't seen it at all ( gasp ) then do yourself a favour and rent it tonight. It is awesome.TRUST ME"
mthompson1450,"Dec 27, 2020",10/10,"Absolute perfection from start to finish,pulls you in and doesn't let you go til it's over.. in my top 5 movies of all time."
PyrolyticCarbon,"Dec 24, 2004",10/10,"I remember seeing this movie when I was young, and it may well have been in the cinema with my Father, I can't quite remember (if he does, then please post the answer), anyway I do remember seeing it and being thoroughly entertained and that feeling of excitement and total fun staying with me to this very day as that is the feeling that the movie conjures up whenever I think of it.I think a part of that is down to the fact it's a complete retake on the old serial movies combined with obvious comic book style, and that is just perfect for kids and appeals to them no end, or rather it did then! So it was with excitement that I opened my presents on my birthday and found the boxset for the Indiana Jones Trilogy, and with even more excitement when I finally watched the first in the trilogy, Raiders of the lost Ark.It was just as I remembered, fun, excitement, wise cracks, a tiny splattering of romance but with a manliness that kids would allow, and lots of stunts and action. It's a superb movie and captures that style of serials, adventure stories and comic books perfectly, how I know that for sure is only through repeats since I wasn't alive during those times.The set pieces are fantastic, and although some of the wilder end sequences are slightly dated now, it hasn't lost the excitement factor. It's a perfectly crafted movie as well, moving from location to location without any distraction or superfluous scenes, it just feels like it's all there for a reason and that it belongs there.Harrison Ford is excellent in the role, and I'm inclined to think he was more Indy than he was Solo, but that's a personal opinion. He has many more facial movements and voice inclinations in this early movie than he does nowadays, now he belongs to the moody, quiet school of acting, then he was dynamic, adventurous, strong and as wisecracking as the best of them.There are some excellent movie making moments in this with George Lucas and Steven Spielberg showing talent galore just oozing out of every pore (where did all that go for Star Wars I to III Mr Lucas?), and they end up making an excellently entertaining movie.Some could argue that there could be a bit more depth or seriousness to the story, but come on, it's a ripping adventure yarn, you don't need depth. Saving the Ark from the Nazi's, surely that's enough! An excellent movie and great fun too, without a doubt one of my favourite of all time."
Sleepin_Dragon,"Jul 12, 2023",10/10,"There is no denying, that this film will forever be one of the greatest movies in the action/adventure genre. Ahead of watching the newest Indie movie, I decided to go straight back to the first one, it's been some time since I last saw it, but it is as still fresh, exciting and downright fun as I remember.The plot is pretty wild, to reach the prized artefact, Indie has to battle through all manner of dangers, battling Nazis in the process, it sounds outlandish and outrageous, but it works.I'd still regard it as Harrison Ford's defining role, he is a huge character, Indie is a real free spirit, he's funny, daring, charming and captivating, the eternal adventurer, perhaps the reason he's back forty years on.Raiders of The Lost Ark is the first of the Indiana Jones, and arguably the best, although I also love Temple of Doom.The perfect film for a bank holiday evening, or teatime on boxing day, it's an adventure that has something for the whole family.Expect some amazing action sequences, this has some impressive fight sequences, explosions, chases, it really is a visual feast, I'm so glad it was made before cinema was captured by The CGI wizards (not that I'm taking away from what those guys do,) but the action feels real.Four decades on, and it's still an exciting, action packed thrill ride, but then you know that already.10/10."
shanrock-33046,"Apr 4, 2022",10/10,"From an Amazing cast that give you a great story of the old fashion action, adventure, love, comedy plot. It is a good movie with great photography. This is a movie that you will surely not want to ever miss."
snoozejonc,"Aug 27, 2020",10/10,"Archaeologist-Adventurer Indiana Jones hunts for the ancient Ark of the Covenant.This movie is a spectacular introduction to one of the most iconic action heroes of twentieth century cinema. It has one of the greatest opening sequences of all time and follows it up with a plethora of classic cinematic moments.We have a McGuffin based plot moving through a variety of locations, encountering a rival archaeologist and hordes of Nazis hell bent on eliminating Indy and taking the Ark for themselves.Harrison Ford is a mixture of Bond and Bogart with his expressive face and rugged charm, while Karen Allen makes a combative and confrontational leading lady. ""You b*****ds! I'll get you for this"" Marion shouts at an entire platoon of Nazis. The two display excellent screen chemistry. One great aspect is the change in attitude we see from Indy towards Marion as the film progresses. Initially it's all about the Ark but by the end it's a bit more about her. Perhaps this is what saves him from the same fate as the film's antagonists.Visually it has the feel of classics like Casablanca, Citizen Kane and Yojimbo. Spielberg has also borrowed and updated action sequences from the likes of Zorro and Stagecoach to great effect. Particularly impressive are the use of shadows in several sequences, my favourite being when the Ark is first carried out of its burial site. All of it is edited so that the noisey excitement is complimented by quieter moments that are just as memorable.Spielberg's anger towards the Nazis rises to the surface in one of the film's themes covering good and evil. Images like the burning swastika and the wrath of god witnessed at the film's conclusion are examples of the Ark punishing those who have broken the covenant held within.John Williams gave the film one of his finest scores and it makes every frame that bit more special. Seeing Indy swinging from jungle vines, chasing a truck on horseback and swimming on to a German U-boat would not be the same without that famous tune to give it that air superhuman confidence.This launched a franchise for Lucas and Spielberg but it was never bettered or even equalled by any of the adventures that followed."
